,Name,Size_Org,Size_ReS,Size_AE,Size_PCA,SSIM_PCA,SSIM_AE,PSNR_PCA,PSNR_AE
0,6279.jpg,5051,171,52,93,0.9101226349249287,0.6151863658181587,31.722294306007267,29.361286430393967
1,7463.jpg,6712,93,36,51,0.9616723158063987,0.8473232616066734,33.62751944367489,28.027987807781717
2,7325.jpg,6948,132,55,75,0.9581160109691034,0.8138412132466868,34.80460429405098,30.28786592893363
3,7587.jpg,7575,155,58,86,0.9359743269169052,0.7409561850980516,33.082295202519404,29.541152505717143
4,7202.jpg,5028,185,54,101,0.924016457762425,0.6058272655896926,31.21534976102239,28.19842389308888
5,7372.jpg,6900,86,29,44,0.9578628147732737,0.8542209289818858,36.434697594867515,28.104403216431663
6,7523.jpg,7285,129,49,72,0.9573211943093781,0.7807192637931486,34.62496401955991,28.126432263437856
7,7357.jpg,6848,72,23,36,0.95844569249368,0.8775651502702926,37.56150617732504,28.417167606306943
8,7298.jpg,7246,122,49,68,0.9575776048074803,0.8131031017473433,35.45843603074935,30.232049478021526
9,7261.jpg,7248,87,32,46,0.9579489562961079,0.8606492509299717,36.29416612042698,28.89198470587198
10,7267.jpg,7531,81,27,41,0.9575632574756212,0.8626880252067497,35.572882077947185,28.247899241092238
11,7556.jpg,6928,97,36,54,0.959774110015711,0.8139263952228598,33.67221507905038,27.887226215103198
12,7434.jpg,7458,139,49,76,0.9362534079562095,0.7391602333248076,34.004383056053406,29.543280217685478
13,7364.jpg,6499,86,32,46,0.9657560014630614,0.8724115331564429,36.99404230408274,29.397457949772363
14,7332.jpg,7008,130,50,73,0.955058449965116,0.7910554543266891,34.503926192767935,29.556555182336606
15,7330.jpg,7847,160,59,89,0.9292150130396077,0.7287418012875678,32.8361553480359,29.36245590440921
16,7266.jpg,6754,63,23,32,0.9690516402118747,0.9064919299897702,31.970302447091548,27.864642584103578
17,6706.jpg,7531,141,51,77,0.9380141837398728,0.7450873425715974,33.865770225132124,29.230430599534273
18,9003.jpg,5331,103,28,50,0.9051072195150633,0.7128196342616243,35.63492119853385,28.419912844670357
19,7317.jpg,7722,157,57,87,0.9337766393249065,0.7309180414494556,32.74114933652231,29.10240805948518
20,10165.jpg,5132,108,25,53,0.9062479300793067,0.7040880073147433,34.983646162123804,30.51178487775357
21,6618.jpg,7261,99,29,50,0.9201325929755612,0.765349006921954,35.82255217131221,29.690368575932744
22,7405.jpg,7832,151,55,83,0.9356052650065259,0.750854789766527,33.18857988956183,30.123630938473667
23,7524.jpg,7373,130,51,73,0.9592972394234013,0.7856769863202565,34.931906478067376,28.09342684056155
24,6614.jpg,7184,91,25,45,0.9244458959723487,0.7770462031376938,35.77485299958034,28.39770965980863
25,10166.jpg,5488,109,27,55,0.9082474846844852,0.7098849771839713,34.211304315869135,29.812229338149045
26,7289.jpg,6304,79,31,43,0.9681311749810154,0.8800416335715416,36.582352368418356,28.857793603014393
27,7331.jpg,7625,152,55,84,0.9323764053436524,0.7338630825283019,33.213543929178805,29.936534979759454
28,7594.jpg,7733,132,47,71,0.9339900429629451,0.7546988538096815,34.135941578036864,29.400219563814353
29,7485.jpg,7153,127,49,70,0.9547907410634975,0.8016982998138146,34.805136303755525,28.650437214768367
30,7273.jpg,6223,66,23,34,0.9685455358845635,0.905072905802816,35.64015659481788,28.682556768125984
31,6716.jpg,7052,137,55,77,0.9534642454290692,0.798238003986674,33.85988540317601,29.413400712916207
32,7199.jpg,4997,181,51,97,0.9155981446437534,0.5974068761145884,30.985871890876425,28.143584155103383
33,7321.jpg,7976,157,54,86,0.933993301832564,0.719058451156194,32.555480904042184,28.38465812919763
34,7466.jpg,6622,99,38,54,0.9655614772869118,0.8462202645278877,36.23714208925139,28.128335456058615
35,6704.jpg,7173,128,52,72,0.9557470331276005,0.8107762369913447,35.16621933829971,29.826442758669394
36,7362.jpg,6356,79,30,43,0.9695508004067042,0.8811287881244676,37.741279966757745,27.96341738379606
37,7243.jpg,6781,120,46,67,0.9615612219735272,0.809631672665648,35.52979189679626,28.294158506640898
38,7414.jpg,7199,145,59,82,0.953954127056119,0.7869213909985562,33.44676335628993,29.180990804397837
39,6707.jpg,7639,139,51,76,0.9382457882970975,0.7568738265814833,33.80680574363395,29.72124751102779
40,7488.jpg,6696,122,50,69,0.9619835979821645,0.8272522747733544,35.11210383385855,29.709605408268406
41,7418.jpg,7092,138,56,77,0.9504540916352878,0.8039924362003195,33.3610581654565,29.98764986808422
42,6615.jpg,7044,86,27,45,0.9286153910337726,0.8060871340673711,28.81928655548158,29.269649679190024
43,8408.jpg,4981,157,52,86,0.8900338736848251,0.6368311475855437,28.85408509631992,27.895842398633576
44,9000.jpg,4910,109,31,56,0.9240133043592191,0.7397742230505098,35.253422696556676,28.94062446205625
45,7571.jpg,7933,152,55,84,0.9319405043308321,0.7379988833509187,32.991371603922495,29.35133038644767
46,8379.jpg,5200,196,56,108,0.9088519021069749,0.5330713714487428,30.99891123720267,28.74568551965721
47,7473.jpg,7458,131,47,72,0.9391339041195942,0.7704407539301507,33.94777630650786,29.24270503400914
48,7240.jpg,7071,130,51,73,0.9562121712591661,0.8021798461778324,34.565316899052505,29.25417246602924
49,6703.jpg,6889,135,56,77,0.9592949507546112,0.8048037008804158,34.527371394661586,29.407781153295534
50,7428.jpg,7876,151,54,84,0.936151671987922,0.7241253959487564,33.065522740226655,29.467361441550935
51,7754.jpg,6641,46,27,32,0.9345597365739255,0.914893616435884,27.81276735130708,28.142676803188337
52,7238.jpg,5058,166,71,90,0.9191539753040764,0.7898861321884939,31.56643761132083,29.316782680763502
53,7726.jpg,5076,108,54,58,0.8760819251821154,0.7922882283050983,28.440557612656935,27.518117481431347
54,7072.jpg,5353,119,56,60,0.8977419668632135,0.8273626223858659,34.05593780960393,30.981553669330488
55,7010.jpg,5219,185,80,98,0.901759811114123,0.7642715578358688,31.343895430870653,28.83877596508104
56,6842.jpg,4972,136,63,73,0.9236106665662686,0.8381729807230089,33.85007380233367,29.749638404426385
57,8068.jpg,5419,160,74,85,0.8956964070399909,0.7727258363878136,29.426221961589626,27.96383692629368
58,8424.jpg,4997,171,69,90,0.8858434013508845,0.7202096641590815,31.84088610626565,29.375152664743155
59,9725.jpg,5013,137,64,73,0.9232500617354534,0.8346880018380635,33.44130601802024,28.461493427239976
60,6430.jpg,4939,135,58,71,0.9159981326818071,0.8215898858659981,33.444405601482586,28.44936838275542
61,8429.jpg,5188,171,74,90,0.8757505334129956,0.7132452723939011,31.59018450628814,27.963567405525893
62,7160.jpg,5186,167,74,86,0.882948262185279,0.7534636054234422,31.822025822999404,28.072678244817855
63,8033.jpg,5277,171,91,145,0.7843246433380399,0.6778035486372143,27.41501813856546,27.495891613666696
64,8415.jpg,4979,162,75,87,0.8739302828408954,0.7521805530757114,29.758076262356337,28.668296838851536
65,6465.jpg,5117,137,64,72,0.9121470099777452,0.8310697131559137,33.44499041458772,29.254821106382344
66,7879.jpg,5291,170,86,143,0.7938840098145665,0.6787485957292739,27.60791354908479,27.321423135482995
67,8334.jpg,5709,106,53,50,0.8840367935493185,0.7649596117979649,34.79712608512388,27.548643364974744
68,7789.jpg,5140,97,44,45,0.8906859295342341,0.8356456129171983,35.87530976333245,33.29350076065716
69,8146.jpg,5181,163,77,84,0.8913318665115041,0.7523857032995317,31.98301440886901,27.66168504986304
70,8522.jpg,5073,163,75,86,0.8920427835649449,0.7706285184340566,32.04071393878466,28.87134806308472
71,7674.jpg,5379,108,48,53,0.9019049726681505,0.8362150925204148,34.93213455840271,32.43170453290148
72,7831.jpg,5254,135,63,69,0.9021406156623021,0.8020500885385587,33.250474559545744,27.862397494987334
73,7018.jpg,5200,173,75,91,0.8969951853698235,0.7705851741927398,31.74062744971518,29.248437917567777
74,6623.jpg,7600,118,57,61,0.916719878813011,0.8517019996559464,34.941448663165076,32.24879678311727
75,7727.jpg,5410,108,51,52,0.8821546208186527,0.8141772149715216,34.67813054557557,31.005181036650903
76,8153.jpg,5245,165,75,86,0.8953133280732869,0.761179739510385,31.86488922768312,28.041785323072503
77,6918.jpg,5267,113,54,59,0.9307434237199226,0.8659496934190022,35.004866954429836,28.985595781294116
78,6348.jpg,5062,120,58,61,0.9040288102833062,0.8337463127753296,34.326149511524356,31.56668253955949
79,6978.jpg,5017,155,65,82,0.8973252997801571,0.7419866720471456,32.401498695136816,29.006581835403548
80,7712.jpg,5365,95,46,46,0.9073963006965143,0.851509444045322,35.9753960075613,32.7943133269532
81,9287.jpg,5281,96,45,47,0.9119751451849119,0.8679621882929178,36.39008732857847,33.281302777425935
82,8005.jpg,5094,186,88,104,0.8801977908548092,0.7128503852369,28.475175998801422,27.646821994967567
83,8106.jpg,5081,166,82,95,0.8680388560879105,0.7045541986488012,28.443687091175303,27.393089620170798
84,8956.jpg,5125,120,55,63,0.9207417703482311,0.8463297807004398,34.101863568906445,30.47661209618306
85,8336.jpg,5161,106,59,70,0.8492860597533225,0.7356219518565231,28.17044589094733,27.509924870846397
86,8060.jpg,5118,172,81,90,0.8842381608175826,0.7104223899902475,30.82574785761568,27.490596563548316
87,8130.jpg,5128,164,89,140,0.7737147166138502,0.6383539509738103,27.453414564431572,27.63067769659864
88,6964.jpg,5043,171,71,91,0.8915825936956258,0.7218577304870573,31.70878587231745,28.616081779823084
89,6564.jpg,5156,164,70,86,0.8989778911263014,0.7433395893226327,32.1138165319008,27.93275706541487
